Unique Response Number,1. I agree with the above information.,2. Please select the appropriate age range.,2.a. Which subject area are you studying?,3. Have you used any Generative AI tools as part of your studies? (A generative AI tool will usually create new content from a prompt),4. Which of the following generative AI tools have you used?,"4.a. If you selected Other, please specify:",5. What devices do you use for Generative AI?,"5.a. If you selected Other, please specify:",6. What are your reasons for not using Generative AI tools in your studies?,"6.a. If you selected Other, please specify:",7. How helpful are AI tools in the following tasks?,7.1. Generating new content,7.2. Summarising content,7.3. Editing text,7.4. Revising grammar and sentence structure,7.5. Generating ideas,7.6. Research,7.7. Planning,7.8. Inspiration,7.9. Writing Communications,7.10. Summarising notes,7.11. As a discursive tool / collaborative partner,8. How do you feel about the advancements and availability of AI generative tools during your studies?,9. How much do you agree with these statements?,9.1. The use of AI in education may give an unfair advantage to those who use them.,9.2. AI tools should be available to ALL students to ensure equality.,9.3. Students trained in the use of AI tools will have more opportunities in the future.,9.4. Access to AI systems should be restricted at the University so that they do not undermine learning.,10. Are you aware of the university guidelines around the use of AI within your studies?,11. How important do you think it is that your tutors teach you how to use Generative AI tools?,11.1. Not at all important vs Very Important,12. How would you feel if academic staff used AI to mark and feedback on your assignments?,13. How would you feel if your tutors used Generative AI tools to create teaching content?,"14. If you have any other thoughts about the use of Generative AI, please write them below.",CompletionDate
1036763-1036745-110579685,Yes,25-34,Science and Technology,Yes,"ChatGPT,Bing AI,DALL E,Mid Journey",,"Laptop,Phone",,,,,Very Helpful,Helpful,Very Helpful,Helpful,Very Helpful,Helpful,Helpful,I have not used any,Helpful,Helpful,Helpful,Positive,,Disagree,Agree,Agree,Neither agree nor disagree,,,4,I'm cool with it. But we can do it for ourselves right? ,Can use to generate ideas and easier to understand. Give more demo for student,I've used a lot Generative AI (and train a lot of them as well) and I think it's an excellent sources of knowledge,2023-05-12
1036763-1036745-110591803,Yes,18-24,Arts,Yes,ChatGPT,,"Laptop,Phone,PC",,,,,Very Helpful,Helpful,Neither helpful or unhelpful,Helpful,Very Helpful,Neither helpful or unhelpful,Helpful,,Neither helpful or unhelpful,Helpful,Very Helpful,Positive,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,,1,"I wouldn’t mind it, as long as they also overlooked it and marked it themselves but used AI as a double checker etc. ",no strong opinions on it,,2023-05-13
1036763-1036745-110592673,Yes,65 and over,Business and Law,Yes,"ChatGPT,Bing AI,DALL E,Mid Journey,Other",I used Prisms.ai beta to test building applications.,Laptop,,,,,Unhelpful,Neither helpful or unhelpful,Unhelpful,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Positive,,Neither agree nor disagree,Agree,Strongly agree,Disagree,Yes,,3,Sensible. If like Casemine the output was knowledgeable and restricted.    We were advised to use casemine.com for criminalistics which incidentally has ai.,"Inevitably it will happen. For example, Microsoft Copilot will enforce the use of AI. It would be foolish to provide Microsoft without AI 'Copilot' to students as when they enter work it will become the default.","Using Generative AI is about asking the right questions (prompts).     ""Albert Einstein: “If I had an hour to solve a problem…I would spend the first 55 minutes determining the proper questions to ask, for once I know the proper question, I can solve the problem in less than five minutes.”",2023-05-13
1036763-1036745-110604587,Yes,18-24,Science and Technology,Yes,ChatGPT,,Laptop,,,,,Unhelpful,Helpful,Very Helpful,Very Helpful,Unhelpful,Unhelpful,Neither helpful or unhelpful,Unhelpful,Helpful,Helpful,Helpful,I have no strong feelings one way or the other,,Agree,Strongly agree,Strongly agree,Strongly disagree,No,,5,"AI should NOT be used in any way to mark a students assignments. Currently it's too unreliable to be able to give any fair judgement to a students work, especially considering how unreliable the data it provides can be do to hallucinations. Teachers might also become dependent on the AI to mark students work making it unfair for the student if the AI is biased or poorly trained on a specific topic which may skew a teachers judgement.",I think this would be a great use of AI but teachers should still check the content before providing them to students as data generated by the AI could be wrong.,"I think AI is a great tool that teachers and students can use to help with their work, but it should NOT in anyway replace both at their core tasks.    Teachers should still be the primary way of teaching and grading students as they know them on a personal level and are the most capable of judging a students capabilities and skills.    Students should also still be the primary author of their work and should not rely on AI to do the heavy lifting.    It's very important that the usage on both sides is kept at the assisting level, because otherwise we would run into the problem of AI writing assignments only for it to be graded by a another AI, thus making the whole point of ""Learning"" meaningless.",2023-05-13
1036763-1036745-110606342,Yes,35-44,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No,,4,"If students are allowed to use AI, then tutors should too.","I feel like that may be a tedious process for them, I imagine they may have to ensure the information is accurate, seems like double work to me.",,2023-05-13
1036763-1036745-110605784,Yes,18-24,Science and Technology,Yes,ChatGPT,,"Laptop,Phone",,,,,Helpful,Neither helpful or unhelpful,Not helpful at all,Helpful,Very Helpful,Neither helpful or unhelpful,Helpful,Helpful,Helpful,Very Helpful,Very Helpful,Positive,,Strongly disagree,Strongly agree,Strongly agree,Disagree,Yes,,5,More accurate and less errors while correcting,"Complicated content as it will be in high student level with high iq,  The use of generative AI raises concerns about its effects on education and student learning, with cheating being primary concern",Generative AI IS A PRIORITY NOW A DAYS ,2023-05-13
1036763-1036745-110619224,Yes,45-54,Education and Society,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,1,I wouldn't trust it,That would be ok if they checked it before using it,,2023-05-14
1036763-1036745-110620263,Yes,18-24,Business and Law,Yes,Bing AI,,Laptop,,,,,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Negative,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,4,,,,2023-05-14
1036763-1036745-110623987,Yes,18-24,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Agree,Agree,Yes,,2,Very unhappy: I prefer real humans to give feedback as this is their job and AI cannot make judgments the same way especially about subjective topics,"Unhappy: I pay lots of money for tailored teaching content. If AI were used instead, I could just find the same information myself","As far as I know, the university physically cannot prevent the use of AI but should be wary of students seeking to gain advantage by using it. AI should not replace human teachers: they are paid to teach and should care about their students enough to engage with said teaching ",2023-05-14
1036763-1036745-110634371,Yes,25-34,Business and Law,Yes,"ChatGPT,Mid Journey",,"Laptop,Tablet,Phone,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,"As a part of a more comprehensive assessment acceptable, but not as the only tool.","In my opinion we must use AI to our advancement, not using it would kill any development and make teaching process obsolete.",,2023-05-15
1036763-1036745-110646354,Yes,18-24,Science and Technology,No,,,,,I found the tools too confusing to use,,,,,,,,,,,,,,Positive,,Disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,Staff mark inconsistently so ai will be beneficial,This is on the lazy side,,2023-05-15
1036763-1036745-110646376,Yes,25-34,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Positive,,Strongly disagree,Agree,Strongly agree,Strongly disagree,No,,4,I think that’s alright ,That’s sounds good,,2023-05-15
1036763-1036745-110646500,Yes,18-24,Science and Technology,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,,,3,i prefer human feedback ,would prefer they do it otherwise they will be looking at it for the first time as well ,,2023-05-15
1036763-1036745-110646389,Yes,18-24,Science and Technology,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,No,,3,"if we were allowed to use them as a resource to answer them, it seems fair enough. on both sides it seems lazy but to the contrast could be a good tool to further and excel learning","excellent, new perspective almost and could learn how best the class/student learns based on feedback from presentations/other content. this personalised approach could be very attractive since we all learn differently",,2023-05-15
1036763-1036745-110646365,Yes,18-24,Science and Technology,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Agree,Strongly agree,,,3,Would feel that feedback may not be completely correct,Unbothered as long as the stuff needed was clear within the content,,2023-05-15
1036763-1036745-110646584,Yes,35-44,Health,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,,2,"Fine to an extent. I think especially in health courses, an element of one to one interaction and understanding personality is still important. ",OK to some level. Some human and personal input is still important,,2023-05-15
1036763-1036745-110646962,Yes,45-54,Science and Technology,Yes,"ChatGPT,Bing AI,DALL E,Mid Journey",,"Laptop,Phone",,,,,Helpful,Very Helpful,Very Helpful,Very Helpful,Neither helpful or unhelpful,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Very Helpful,Very Helpful,Helpful,Positive,,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,No,,5,"can have both advantages and disadvantages. On one hand, AI can provide quick and consistent grading and feedback. On the other hand, AI may not be able to provide the same level of personalized and nuanced feedback as a human instructor. Ultimately, the effectiveness of using AI for grading and feedback would depend on the specific implementation and context. ( see my point>\? ; ) ) ","can have both advantages and disadvantages. On one hand, AI can provide quick and consistent grading and feedback. On the other hand, AI may not be able to provide the same level of personalized and nuanced feedback as a human instructor. Ultimately, the effectiveness of using AI for grading and feedback would depend on the specific implementation and context. ( see my point>\? ; ) ) ",Regulate or Ban ? - We cant ban - but we sure have to regulate and educate/inform about it as much as we can   ,2023-05-15
1036763-1036745-110647019,Yes,35-44,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Positive,,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,No,,2,Whether or not we are going to that path undoubtedly ,That would be fine,,2023-05-15
1036763-1036745-110647273,Yes,35-44,Health,Yes,"Chat Sonic,Mid Journey",,Laptop,,,,,Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Helpful,Helpful,Very Helpful,Positive,,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,2,Not great,Great,No,2023-05-15
1036763-1036745-110646680,Yes,18-24,Other / prefer not to say,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Agree,Neither agree nor disagree,Agree,Yes,,2,"AI can often go wrong and is often unreliable when it comes to determined what is considered important and unimportant.   I also feel like having AI mark and provide feedback takes away that ‘ overlook’ that lectures can have. Especially if the AI is the only one who sees the assignments handed in.     However, I think AI is a great tool to discover those that copy and paste, or take information from other AI sites ( the more common one being ChatGPT). ","As I stated before AI is not always reliable when trying to generate content. From past experiences AI tend to simplify or make work more difficult by teaching the wrong segment.     I also feel AI would take away the social aspect of the content we learn. Lectures tailer their lessons around their students, and AI cannot do this. ",,2023-05-15
1036763-1036745-110647768,Yes,45-54,Education and Society,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Agree,Agree,Agree,,,4,"Not good, ","Ok if its not at the detriment of quality, now and in the future (lost skills)","an old saying in computing , garbage in garbage out. I think AI can help though there is an importance that the user has knowledge in the field so know how to give the right instructions and review the answer correctly",2023-05-15
1036763-1036745-110648417,Yes,18-24,Education and Society,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Agree,Strongly disagree,Neither agree nor disagree,No,,4,It would help them mark in time and fair.,Neither agree or disagree.,I do not have.,2023-05-15
1036763-1036745-110648428,Yes,25-34,Science and Technology,Yes,"ChatGPT,Bing AI,DALL E,Jasper Art",,"Laptop,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Helpful,Helpful,Helpful,Positive,,Disagree,Agree,Strongly agree,Agree,,,5,Good thing ,That’s good,,2023-05-15
1036763-1036745-110648655,Yes,55-64,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No,,3,Fine,Fine,,2023-05-15
1036763-1036745-110649965,Yes,18-24,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,,,5,That would be great as long as the AI is certified or like good to use ,That would be great it’ll be easy for the tutor and students both,Universities should teach students about this stuff. It is the future and not everyone is self sufficient and learn everything on their own so it should be added to the course as an option so everyone who wants can learn it.,2023-05-15
1036763-1036745-110650290,Yes,45-54,Health,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Positive,,Disagree,Strongly agree,Strongly agree,Strongly disagree,No,,4,Good,Good,It will level up learning for those who fine it harder to write and help people access their way of learning ,2023-05-15
1036763-1036745-110647855,Yes,25-34,Science and Technology,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Positive,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,3,,,,2023-05-15
1036763-1036745-110650652,Yes,18-24,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Yes,,1,Cheated out of a complete and thorough analysis of my work and thoughtful feedback ,Unenthusiastic ,Reliance on AI will become a crutch and people will not develop proper skills fully ,2023-05-15
1036763-1036745-110651145,,25-34,Health,No,,,,,I am concerned about the data it may be gathering about me and my interactions,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,,,3,,,,2023-05-15
1036763-1036745-110651308,Yes,18-24,Arts,Yes,DALL E,,Phone,,,,,Helpful,Helpful,Unhelpful,I have not used any,Very Helpful,Very Helpful,Neither helpful or unhelpful,Helpful,Helpful,I have not used any,I have not used any,Positive,,Disagree,Agree,Neither agree nor disagree,Agree,No,,1,It would make me unmotivated to complete assignments.,It would be interesting to see,,2023-05-15
1036763-1036745-110652083,Yes,18-24,Business and Law,Yes,ChatGPT,,"Laptop,Phone",,,,,Helpful,Helpful,Neither helpful or unhelpful,Helpful,Helpful,Helpful,Helpful,Not helpful at all,Helpful,Helpful,Helpful,Positive,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,No,,5,Not so good,That would be good,,2023-05-15
1036763-1036745-110652667,Yes,25-34,Science and Technology,Yes,"ChatGPT,DALL E,Mid Journey",,"Laptop,Phone,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,Fine,Fine,There's no point banning it at the university because it's here to stay. The best course of action is to teach how to utilise it effectively as those who do will have the greatest advantages in life going forward,2023-05-15
1036763-1036745-110653271,Yes,18-24,Science and Technology,Yes,"ChatGPT,Bing AI,Jasper Chat,DALL E,Mid Journey,Night Cafe,Other",Google bard  ,"Laptop,Phone",,,,,Helpful,Very Helpful,Very Helpful,Very Helpful,Neither helpful or unhelpful,Very Helpful,Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,No,,3,"I think it would be fair given that students use AI in their assignment.   I personally think AI is meant to be a collaborative partner in majority of tasks we do.  If teachers and students both use AI in their tasks, it will effectively be beneficial for both of them.","For creation of teaching content, I also think with the exponential advancements in AI, if teachers identify, and use the write tools for certain pieces of content, be it notes or images, as long as the right tools are used, then it would make the classes feel more engaging and vibrant (up-to date)","My last thoughts on the topic is, AI is a huge advancement in the technology space, and those who use them will eventually outpace, those who don’t.   Do I think it’s fair, absolutely yes.  Most AI tools are free to use e.g Chat GPT and Google Bard, and everyone has access to them. Whoever chooses to use them is already far ahead of another who chooses not to.     However one key thing I should say, is the university should look into having and using more AI detectors for content.   As some people might misuse the opportunity of using AI, to not do their own assignment themselves.    Thank you for the survey. ",2023-05-15
1036763-1036745-110654234,Yes,18-24,Arts,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Yes,,2,"I don’t really mind the comfort, I understand that would help the lecturers, however a more detailed face to face conversation works better towards progression and correction. ","Not so eager about this, still prefer the old style",,2023-05-15
1036763-1036745-110654366,Yes,18-24,Other / prefer not to say,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Strongly agree,Disagree,Neither agree nor disagree,Yes,,5,not sure.,as long as it is relevant and helpful.,,2023-05-15
1036763-1036745-110654804,Yes,18-24,Business and Law,Yes,ChatGPT,,Laptop,,,,,Neither helpful or unhelpful,Helpful,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,,Neither helpful or unhelpful,Helpful,,Neither helpful or unhelpful,Neither helpful or unhelpful,I have no strong feelings one way or the other,,,Strongly agree,,,Yes,,,,,No not at all ,2023-05-15
1036763-1036745-110654789,Yes,35-44,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,,,1,I will feel bad because AI does not reason 100% like human brain. AI is just garbage in and garbage out.,I will be unhappy because tutors' knowledge will be limited to the extend that AI can carry them. Tutors should use it as part of the tools to prepare for class and not the only tools for teaching.,"The use of AI among students will drastically reduce student academic research. Reduce their moral for studies and also reduce their creativity mind. Again, when tutors use AI to prepare for class, learning will not be fun again",2023-05-15
1036763-1036745-110658169,Yes,35-44,Education and Society,Yes,"ChatGPT,Other",Google Bard,Laptop,,,,,Not helpful at all,Neither helpful or unhelpful,Unhelpful,Unhelpful,Not helpful at all,Not helpful at all,Helpful,Not helpful at all,Neither helpful or unhelpful,Not helpful at all,Helpful,I have no strong feelings one way or the other,,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,No,,3,It depends on how it is used. I think that for example if it is used to write comments that then are reviewed by the teacher it would be acceptable,No problem if the teacher reviews the content ,To edit a reference  list in the correct format but it needs to be checked because it is not accurate,2023-05-15
1036763-1036745-110659041,Yes,25-34,Business and Law,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Strongly agree,Neither agree nor disagree,Disagree,No,,4,"If students are allowed to use AI to write assignments, staff should be allowed to use it to mark it. If students are not allowed to use it, staff sohuldn't be allowed to use it either","Why not, it can be helpful and it can help staff create better content. But it should only help them , it shouldn't create it for them completely ",We can't stop progress ,2023-05-15
1036763-1036745-110660310,Yes,35-44,Business and Law,Yes,ChatGPT,,Laptop,,,,,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Very Helpful,Neither helpful or unhelpful,I have not used any,I have not used any,I have not used any,I have not used any,Helpful,Helpful,Negative,,Agree,Agree,Agree,Strongly agree,No,,4,,,,2023-05-15
1036763-1036745-110665251,Yes,45-54,Business and Law,Yes,"ChatGPT,DALL E",,"Laptop,Phone,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Positive,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,Will probably better that current feedback ,To finally get rid of tutor's who read from a .ppt 2 hours straight?!,"Evolve and adapt, or ...",2023-05-15
1036763-1036745-110668055,Yes,25-34,Business and Law,Yes,"ChatGPT,Bing AI",,"Laptop,Tablet,Phone,PC",,,,,Very Helpful,Very Helpful,Helpful,Very Helpful,Helpful,Very Helpful,Very Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Very Helpful,Neither helpful or unhelpful,Positive,,Disagree,Strongly agree,Strongly agree,Strongly disagree,,,5,no,no,,2023-05-15
1036763-1036745-110669753,Yes,35-44,Education and Society,Yes,ChatGPT,,Laptop,,,,,Helpful,I have not used any,Very Helpful,Helpful,Very Helpful,I have not used any,I have not used any,Helpful,Very Helpful,I have not used any,I have not used any,Positive,,Disagree,Agree,Strongly agree,Strongly disagree,No,,5,,,,2023-05-15
1036763-1036745-110672540,Yes,18-24,Science and Technology,Yes,"ChatGPT,Other",BARD ,"Phone,PC",,,,,I have not used any,Very Helpful,I have not used any,I have not used any,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,I have not used any,Positive,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,3,If the academic staff used solely AI to mark my work I would be unhappy as they are not inputting their expertise. I would be happy for them to use it for smaller things like summarising etc,I wouldn’t mind.,,2023-05-15
1036763-1036745-110674165,Yes,35-44,Health,Yes,Other,Grammarly & DeepL,"Laptop,Phone",,,,,I have not used any,Not helpful at all,I have not used any,Very Helpful,Not helpful at all,Not helpful at all,Not helpful at all,Not helpful at all,Neither helpful or unhelpful,I have not used any,I have not used any,I have no strong feelings one way or the other,,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,,2,I would not mind but first we need to know what is appropriate to use. Anyway turnitin is already used by academic staff. ,If it's a good content I would not care,,2023-05-15
1036763-1036745-110680673,Yes,18-24,Health,Yes,Other,"The App ""Notion"" has developed an AI tool.",Laptop,,,,,Helpful,Very Helpful,I have not used any,I have not used any,Helpful,I have not used any,I have not used any,Unhelpful,I have not used any,I have not used any,Neither helpful or unhelpful,I have no strong feelings one way or the other,,Neither agree nor disagree,Agree,Disagree,Strongly agree,No,,2,"I would be very against it. As AI lacks human logic and individuality, topics that involve personal/humane conversation would lack points. Furthermore, AI would use resources and experience that's already on the internet.","I am leaning to a more disagreeable side with this, but I can see that it might help with simple structure making. ",I am personally not a fan of AI and only tried it a few times to understand other people's perspectives. There's many ethical practices to investigate further (but many of which have been negative) and the impact it has on the environment.,2023-05-15
1036763-1036745-110686298,Yes,35-44,Business and Law,Yes,ChatGPT,,"Laptop,Phone",,,,,Helpful,Helpful,I have not used any,I have not used any,Helpful,Unhelpful,I have not used any,Helpful,Helpful,I have not used any,I have not used any,I have no strong feelings one way or the other,,Agree,Strongly agree,Neither agree nor disagree,Agree,Yes,,2,May not be the best option.,Accuracy of the information should be double checked.,,2023-05-15
1036763-1036745-110690031,Yes,25-34,Science and Technology,Yes,"ChatGPT,DALL E",,Other,Acer ,,,,Helpful,Helpful,Helpful,Helpful,Very Helpful,Unhelpful,Unhelpful,Not helpful at all,Neither helpful or unhelpful,Very Helpful,Helpful,Positive,,Agree,Disagree,Strongly agree,Strongly agree,Yes,,5,Not Good,Its okay but Teachers should include his skills which can't be found in AI tools,"Especially, Educators should realize three types of learning: learning to learn(L2L), learning to adapt(L2A) and learning to change (L2C). In my opinion Generative AI are learning to learn only.",2023-05-16
1036763-1036745-110703974,Yes,18-24,Arts,Yes,"ChatGPT,Jasper Art",,PC,,,,,Helpful,Neither helpful or unhelpful,Helpful,Very Helpful,Helpful,I have not used any,I have not used any,Very Helpful,I have not used any,Very Helpful,I have not used any,Positive,,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Yes,,5,I think it would be a great idea. It would free up staff schedule allowing for more time focused on teaching and improving the involvement with students at the university.,As long as its structured properly and is generated well I wouldn't mind. I highly doubt a large quantity of students would be able to tell the difference.,"I feel as though AI generation is particuarly helpful in very spesific aspects of university, i.e. as an arts student i find it useful for refining project ideas towards a more understandable goal or helping with my grammar and sentence structure which I severely lack in. Using it to completely write an essay however is blatantly unethical as you have put no thought further than typing into a chatbox the essay you want. If used properly AI would support your work with the human doing the majority of the work.",2023-05-16
1036763-1036745-110731203,Yes,35-44,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Disagree,Agree,Agree,Agree,Yes,,1,Unfair,Not seems fair,It can be used to study complex models and calculations .May be it can well explain the concepts and notions.,2023-05-16
1036763-1036745-110737858,Yes,18-24,Arts,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Disagree,Agree,Neither agree nor disagree,Disagree,,,3,it wouldn’t be particularly personal ,that’s ok,,2023-05-16
1036763-1036745-110816103,Yes,45-54,Other / prefer not to say,Yes,"ChatGPT,Bing AI,Chat Sonic,Jasper Chat",,Laptop,,,,,Not helpful at all,Not helpful at all,,,Not helpful at all,Not helpful at all,,,,,,Positive,,Strongly agree,Strongly agree,,,,,1,Bad,Bad,No,2023-05-18
1036763-1036745-110820544,,18-24,Science and Technology,No,,,,,Other,"I don't like to use them for the simple reason that they are often flawed in their responses as far as their abilities go to relate data with specialist terms to concepts. For example if asked a question about mechanics in a card game like poker, yugioh or bridge,  it will often confuse specialist terms with separate wholly different meanings or ignore wider rules, the sentences are legible but the intricacies are not adhered to. this has been more widely documented within chess, where AI softwares will know all the rules and still not adhere to them after a position presents slight complexities. I also think there is a fairly clear structure to the way AI structure sentences when answering questions, along with obvious giveaway phrasing such as the overuse of the words ""this suggests"" and constant reference to the fact that the information should not be taken as guaranteed and that a specialist must be consulted. there is also the obvious issue of referencing which many AI's struggle with, particularly chatgpt. Finally, i personally have too much pride to rely solely on something that isn't me for my work, i like the feeling of being unique/ being the first person to explore something or phrase it in a certain way. Finally i should say that as you are likely aware, many students are aware of these services and troubles arise most specifically with one certain type of exam where students can guarantee a near 100% mark. feel free to work out which ones they are. ",,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Strongly disagree,Strongly agree,Agree,No,,1,"This is not the open university, the university needs to have an extreme focus on bringing up grades in stem fields to increase its ranking and as much as the staff may like the idea...asides from the few select professors i can think of with an admirable emotional investment in their students individual academic achievements, it should be accepted that AI is not at a level where it can mark and give feedback to essays on the same level as humans with years of experience in education and teaching.","as long as this does not encourage them to use a primary-school style ""learning objective"" approach where the lesson is simply telling students to read a question they generated and answer it while adhering to wider objectives then that is fine. it should be used to enhance teaching, not simplify it.","The most obvious answer is the one with the most meaning, that being ""AI can be extremely useful or extremely detrimental to its user and their work environment depending on who's hands it is in"".  if used solely to answer questions without that person needing to think for themselves then they will only make themselves suffer in their written hall-exams and will not learn much. If used to break down pages of advanced terminology/data and said broken down terminology/data of note is then researched by the student who find their own sources and formulates their own answer, then it can serve as a beneficial time-saving tool.",2023-05-18
1036763-1036745-110839382,Yes,18-24,Other / prefer not to say,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No,,1,concerned,also pretty concerned,"generative AI is not as good as people think it is, it can't create anything new but rehashes ideas, thoughts and images that were already made and outputs it in a 'new' way  A lot of the time AI used for creative subjects to produce images or animations infringe on a lot of copyright laws as the images or videos used to train the AI are not given by the creator nor used under fair use",2023-05-18
1036763-1036745-110853378,Yes,45-54,Business and Law,Yes,ChatGPT,,"Laptop,Phone",,,,,Helpful,Very Helpful,Very Helpful,Very Helpful,Helpful,I have not used any,I have not used any,Helpful,Very Helpful,I have not used any,I have not used any,Positive,,Disagree,Strongly agree,Strongly agree,Strongly disagree,No,,5,It should not be 100% done by AI. AI to be used to boost our capacity and not to replace human.,"I see it  positive, as long as the AI is used to organize thoughts and ideas.","Long time ago when we started using spell and grammer checking tools, it was considered as AI. Now AI enters a new Era, human should used it to boost capacity and increase performance. As long as AI is used to help in fine tuning genuine ideas, then it is positive. But if AI is used for human to hide behind it then it is not good. May be there is a need for regulation and guidelines ",2023-05-18
